A,B,C,D,Menu_Section,Restaurant_URL,E,F,Region,G,H
SMOKED BBQ PORK BELLY,"Smoked pork belly, slow-cooked for four hours, with Spiked maple glaze and served with mash, green beans & gravy",£,15.99,Grills,https:,www.harvester.co.uk,restaurants,northwest,harvesteratherleighleigh,mainmenu#
10OZ# SIRLOIN STEAK,No Description,£,17.99,Steaks,https:,www.harvester.co.uk,restaurants,northwest,harvesteratherleighleigh,mainmenu#
12OZ# RIBEYE STEAK,No Description,£,20.49,Steaks,https:,www.harvester.co.uk,restaurants,northwest,harvesteratherleighleigh,mainmenu#
8OZ# RUMP STEAK,No Description,£,14.99,Steaks,https:,www.harvester.co.uk,restaurants,northwest,harvesteratherleighleigh,mainmenu#
CHARGRILLED RUMP STEAK,No Description,£,9.99,Flatbreads,https:,www.harvester.co.uk,restaurants,northwest,harvesteratherleighleigh,mainmenu#
BUTTERMILK-FRIED CHICKEN,No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,northwest,harvesteratherleighleigh,mainmenu#
CHARGRILLED CAJUN CHICKEN BREAST,No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,northwest,harvesteratherleighleigh,mainmenu#
GRILLED HALLOUMI (V),No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,northwest,harvesteratherleighleigh,mainmenu#
BREADED MUSHROOMS (V),With garlic mayo dip,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,northwest,harvesterbuckshawchorley,mainmenu#
NACHOS (V),"With cheese sauce, guacamole, salsa, sour cream and jalapeños.",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,northwest,harvesterbuckshawchorley,mainmenu#
Add BBQ Pulled Pork,Add BBQ pulled pork,£,0.99,Starters,https:,www.harvester.co.uk,restaurants,northwest,harvesterbuckshawchorley,mainmenu#
VEGAN NACHOS (VE),"With guacamole, salsa and jalapeños. Add vegan chilli +99p",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,northwest,harvesterbuckshawchorley,mainmenu#
Add Vegan Chilli (VE),Add vegan chilli,£,0.99,Starters,https:,www.harvester.co.uk,restaurants,northwest,harvesterbuckshawchorley,mainmenu#
GARLIC BREAD (V),Soft garlic bread topped with garlic & parsley butter. Cheesy garlic bread (V) and vegan option available (VE),£,4.99,Starters,https:,www.harvester.co.uk,restaurants,northwest,harvesterbuckshawchorley,mainmenu#
Cheesy Garlic Bread (V),Soft garlic bread topped with garlic & parsley butter. Topped with Cheddar cheese,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,northwest,harvesterbuckshawchorley,mainmenu#
Garlic Bread (VE),Soft garlic bread,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,northwest,harvesterbuckshawchorley,mainmenu#
PRIME CHICKEN WINGS,Choose your sauce: BBQ sauce or peri-peri sauce,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,northwest,harvesterbuckshawchorley,mainmenu#
CHICKEN BREAST GOUJONS,Choose your sauce: Bourbon or Naga hot chilli sauce,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,northwest,harvesterbuckshawchorley,mainmenu#
LOADED TEX MEX SWEETCORN RIBS (V),"Oak-smoked and topped with chunky tomato salsa, guacamole & cheese sauce.",£,5.49,Starters,https:,www.harvester.co.uk,restaurants,northwest,harvesterbuckshawchorley,mainmenu#
HALLOUMI FRIES (V),With chunky tomato salsa,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,northwest,harvesterbuckshawchorley,mainmenu#
SPICY CRACKERJACK PRAWNS,With sweet chilli dip,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,northwest,harvesterbuckshawchorley,mainmenu#
GRILLED MEDITERRANEAN VEGETABLES (V)(VE),With a tomato and smoked paprika sauce and soft flatbread.,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,northwest,harvesterbuckshawchorley,mainmenu#
JALEPENO POPPERS (V),"Stuffed with cream cheese, served with a chunky tomato salsa",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,northwest,harvesterbuckshawchorley,mainmenu#
CRISPY CALAMARI STRIPS,With sweet chilli dip,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,northwest,harvesterbuckshawchorley,mainmenu#
POTATO SKINS,Loaded with melted cheese and bacon,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,northwest,harvesterbuckshawchorley,mainmenu#
MIXED GRILL,"A quarter of our rotisserie chicken, 4oz* rump steak, half a gammon steak, a pork sausage, a fried free-range egg and black pudding. Ask about upgrading your steak",£,16.99,Grills,https:,www.harvester.co.uk,restaurants,northwest,harvesterbuckshawchorley,mainmenu#
ULTIMATE MIXED GRILL,"A quarter portion of our rotisserie chicken, 8oz* rump steak, a half rack of our BBQ-glazed ribs, 7oz* gammon, two pork sausages, two fried free-range eggs and two black pudding slices",£,22.49,Grills,https:,www.harvester.co.uk,restaurants,northwest,harvesterbuckshawchorley,mainmenu#
7OZ# GAMMON,"Served with chips, onion rings, tomato & peas",£,10.99,Grills,https:,www.harvester.co.uk,restaurants,northwest,harvesterbuckshawchorley,mainmenu#
14OZ* GAMMON,"With your choice of grilled pineapple or a fried free-range egg. Served with chips, onion rings, tomato & peas.",£,14.49,Grills,https:,www.harvester.co.uk,restaurants,northwest,harvesterbuckshawchorley,mainmenu#
SMOKED BBQ PORK BELLY,"Smoked pork belly, slow-cooked for four hours, with Spiked maple glaze and served with mash, green beans & gravy",£,15.99,Grills,https:,www.harvester.co.uk,restaurants,northwest,harvesterbuckshawchorley,mainmenu#
10OZ# SIRLOIN STEAK,No Description,£,17.99,Steaks,https:,www.harvester.co.uk,restaurants,northwest,harvesterbuckshawchorley,mainmenu#
12OZ# RIBEYE STEAK,No Description,£,20.49,Steaks,https:,www.harvester.co.uk,restaurants,northwest,harvesterbuckshawchorley,mainmenu#
8OZ# RUMP STEAK,No Description,£,14.99,Steaks,https:,www.harvester.co.uk,restaurants,northwest,harvesterbuckshawchorley,mainmenu#
CHARGRILLED RUMP STEAK,No Description,£,9.99,Flatbreads,https:,www.harvester.co.uk,restaurants,northwest,harvesterbuckshawchorley,mainmenu#
BUTTERMILK-FRIED CHICKEN,No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,northwest,harvesterbuckshawchorley,mainmenu#
CHARGRILLED CAJUN CHICKEN BREAST,No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,northwest,harvesterbuckshawchorley,mainmenu#
GRILLED HALLOUMI (V),No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,northwest,harvesterbuckshawchorley,mainmenu#
BREADED MUSHROOMS (V),With garlic mayo dip,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,northwest,thehorwichparkinnbolton,mainmenu#
NACHOS (V),"With cheese sauce, guacamole, salsa, sour cream and jalapeños.",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,northwest,thehorwichparkinnbolton,mainmenu#
Add BBQ Pulled Pork,Add BBQ pulled pork,£,0.99,Starters,https:,www.harvester.co.uk,restaurants,northwest,thehorwichparkinnbolton,mainmenu#
VEGAN NACHOS (VE),"With guacamole, salsa and jalapeños. Add vegan chilli +99p",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,northwest,thehorwichparkinnbolton,mainmenu#
Add Vegan Chilli (VE),Add vegan chilli,£,0.99,Starters,https:,www.harvester.co.uk,restaurants,northwest,thehorwichparkinnbolton,mainmenu#
GARLIC BREAD (V),Soft garlic bread topped with garlic & parsley butter. Cheesy garlic bread (V) and vegan option available (VE),£,4.99,Starters,https:,www.harvester.co.uk,restaurants,northwest,thehorwichparkinnbolton,mainmenu#
Cheesy Garlic Bread (V),Soft garlic bread topped with garlic & parsley butter. Topped with Cheddar cheese,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,northwest,thehorwichparkinnbolton,mainmenu#
Garlic Bread (VE),Soft garlic bread,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,northwest,thehorwichparkinnbolton,mainmenu#
PRIME CHICKEN WINGS,Choose your sauce: BBQ sauce or peri-peri sauce,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,northwest,thehorwichparkinnbolton,mainmenu#
CHICKEN BREAST GOUJONS,Choose your sauce: Bourbon or Naga hot chilli sauce,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,northwest,thehorwichparkinnbolton,mainmenu#
LOADED TEX MEX SWEETCORN RIBS (V),"Oak-smoked and topped with chunky tomato salsa, guacamole & cheese sauce.",£,5.49,Starters,https:,www.harvester.co.uk,restaurants,northwest,thehorwichparkinnbolton,mainmenu#
HALLOUMI FRIES (V),With chunky tomato salsa,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,northwest,thehorwichparkinnbolton,mainmenu#
SPICY CRACKERJACK PRAWNS,With sweet chilli dip,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,northwest,thehorwichparkinnbolton,mainmenu#
GRILLED MEDITERRANEAN VEGETABLES (V)(VE),With a tomato and smoked paprika sauce and soft flatbread.,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,northwest,thehorwichparkinnbolton,mainmenu#
JALEPENO POPPERS (V),"Stuffed with cream cheese, served with a chunky tomato salsa",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,northwest,thehorwichparkinnbolton,mainmenu#
CRISPY CALAMARI STRIPS,With sweet chilli dip,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,northwest,thehorwichparkinnbolton,mainmenu#
POTATO SKINS,Loaded with melted cheese and bacon,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,northwest,thehorwichparkinnbolton,mainmenu#
MIXED GRILL,"A quarter of our rotisserie chicken, 4oz* rump steak, half a gammon steak, a pork sausage, a fried free-range egg and black pudding. Ask about upgrading your steak",£,16.99,Grills,https:,www.harvester.co.uk,restaurants,northwest,thehorwichparkinnbolton,mainmenu#
ULTIMATE MIXED GRILL,"A quarter portion of our rotisserie chicken, 8oz* rump steak, a half rack of our BBQ-glazed ribs, 7oz* gammon, two pork sausages, two fried free-range eggs and two black pudding slices",£,22.49,Grills,https:,www.harvester.co.uk,restaurants,northwest,thehorwichparkinnbolton,mainmenu#
7OZ# GAMMON,"Served with chips, onion rings, tomato & peas",£,10.99,Grills,https:,www.harvester.co.uk,restaurants,northwest,thehorwichparkinnbolton,mainmenu#
14OZ* GAMMON,"With your choice of grilled pineapple or a fried free-range egg. Served with chips, onion rings, tomato & peas.",£,14.49,Grills,https:,www.harvester.co.uk,restaurants,northwest,thehorwichparkinnbolton,mainmenu#
SMOKED BBQ PORK BELLY,"Smoked pork belly, slow-cooked for four hours, with Spiked maple glaze and served with mash, green beans & gravy",£,15.99,Grills,https:,www.harvester.co.uk,restaurants,northwest,thehorwichparkinnbolton,mainmenu#
10OZ# SIRLOIN STEAK,No Description,£,17.99,Steaks,https:,www.harvester.co.uk,restaurants,northwest,thehorwichparkinnbolton,mainmenu#
12OZ# RIBEYE STEAK,No Description,£,20.49,Steaks,https:,www.harvester.co.uk,restaurants,northwest,thehorwichparkinnbolton,mainmenu#
8OZ# RUMP STEAK,No Description,£,14.99,Steaks,https:,www.harvester.co.uk,restaurants,northwest,thehorwichparkinnbolton,mainmenu#
CHARGRILLED RUMP STEAK,No Description,£,9.99,Flatbreads,https:,www.harvester.co.uk,restaurants,northwest,thehorwichparkinnbolton,mainmenu#
BUTTERMILK-FRIED CHICKEN,No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,northwest,thehorwichparkinnbolton,mainmenu#
CHARGRILLED CAJUN CHICKEN BREAST,No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,northwest,thehorwichparkinnbolton,mainmenu#
GRILLED HALLOUMI (V),No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,northwest,thehorwichparkinnbolton,mainmenu#
BREADED MUSHROOMS (V),With garlic mayo dip,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,northwest,thesirwinstonchurchillrochdale,mainmenu#
NACHOS (V),"With cheese sauce, guacamole, salsa, sour cream and jalapeños.",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,northwest,thesirwinstonchurchillrochdale,mainmenu#
Add BBQ Pulled Pork,Add BBQ pulled pork,£,0.99,Starters,https:,www.harvester.co.uk,restaurants,northwest,thesirwinstonchurchillrochdale,mainmenu#
VEGAN NACHOS (VE),"With guacamole, salsa and jalapeños. Add vegan chilli +99p",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,northwest,thesirwinstonchurchillrochdale,mainmenu#
Add Vegan Chilli (VE),Add vegan chilli,£,0.99,Starters,https:,www.harvester.co.uk,restaurants,northwest,thesirwinstonchurchillrochdale,mainmenu#
GARLIC BREAD (V),Soft garlic bread topped with garlic & parsley butter. Cheesy garlic bread (V) and vegan option available (VE),£,4.99,Starters,https:,www.harvester.co.uk,restaurants,northwest,thesirwinstonchurchillrochdale,mainmenu#
Cheesy Garlic Bread (V),Soft garlic bread topped with garlic & parsley butter. Topped with Cheddar cheese,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,northwest,thesirwinstonchurchillrochdale,mainmenu#
Garlic Bread (VE),Soft garlic bread,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,northwest,thesirwinstonchurchillrochdale,mainmenu#
PRIME CHICKEN WINGS,Choose your sauce: BBQ sauce or peri-peri sauce,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,northwest,thesirwinstonchurchillrochdale,mainmenu#
CHICKEN BREAST GOUJONS,Choose your sauce: Bourbon or Naga hot chilli sauce,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,northwest,thesirwinstonchurchillrochdale,mainmenu#
LOADED TEX MEX SWEETCORN RIBS (V),"Oak-smoked and topped with chunky tomato salsa, guacamole & cheese sauce.",£,5.49,Starters,https:,www.harvester.co.uk,restaurants,northwest,thesirwinstonchurchillrochdale,mainmenu#
HALLOUMI FRIES (V),With chunky tomato salsa,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,northwest,thesirwinstonchurchillrochdale,mainmenu#
SPICY CRACKERJACK PRAWNS,With sweet chilli dip,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,northwest,thesirwinstonchurchillrochdale,mainmenu#
GRILLED MEDITERRANEAN VEGETABLES (V)(VE),With a tomato and smoked paprika sauce and soft flatbread.,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,northwest,thesirwinstonchurchillrochdale,mainmenu#
JALEPENO POPPERS (V),"Stuffed with cream cheese, served with a chunky tomato salsa",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,northwest,thesirwinstonchurchillrochdale,mainmenu#
CRISPY CALAMARI STRIPS,With sweet chilli dip,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,northwest,thesirwinstonchurchillrochdale,mainmenu#
POTATO SKINS,Loaded with melted cheese and bacon,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,northwest,thesirwinstonchurchillrochdale,mainmenu#
MIXED GRILL,"A quarter of our rotisserie chicken, 4oz* rump steak, half a gammon steak, a pork sausage, a fried free-range egg and black pudding. Ask about upgrading your steak",£,16.99,Grills,https:,www.harvester.co.uk,restaurants,northwest,thesirwinstonchurchillrochdale,mainmenu#
ULTIMATE MIXED GRILL,"A quarter portion of our rotisserie chicken, 8oz* rump steak, a half rack of our BBQ-glazed ribs, 7oz* gammon, two pork sausages, two fried free-range eggs and two black pudding slices",£,22.49,Grills,https:,www.harvester.co.uk,restaurants,northwest,thesirwinstonchurchillrochdale,mainmenu#
7OZ# GAMMON,"Served with chips, onion rings, tomato & peas",£,10.99,Grills,https:,www.harvester.co.uk,restaurants,northwest,thesirwinstonchurchillrochdale,mainmenu#
14OZ* GAMMON,"With your choice of grilled pineapple or a fried free-range egg. Served with chips, onion rings, tomato & peas.",£,14.49,Grills,https:,www.harvester.co.uk,restaurants,northwest,thesirwinstonchurchillrochdale,mainmenu#
SMOKED BBQ PORK BELLY,"Smoked pork belly, slow-cooked for four hours, with Spiked maple glaze and served with mash, green beans & gravy",£,15.99,Grills,https:,www.harvester.co.uk,restaurants,northwest,thesirwinstonchurchillrochdale,mainmenu#
10OZ# SIRLOIN STEAK,No Description,£,17.99,Steaks,https:,www.harvester.co.uk,restaurants,northwest,thesirwinstonchurchillrochdale,mainmenu#
12OZ# RIBEYE STEAK,No Description,£,20.49,Steaks,https:,www.harvester.co.uk,restaurants,northwest,thesirwinstonchurchillrochdale,mainmenu#
8OZ# RUMP STEAK,No Description,£,14.99,Steaks,https:,www.harvester.co.uk,restaurants,northwest,thesirwinstonchurchillrochdale,mainmenu#
CHARGRILLED RUMP STEAK,No Description,£,9.99,Flatbreads,https:,www.harvester.co.uk,restaurants,northwest,thesirwinstonchurchillrochdale,mainmenu#
BUTTERMILK-FRIED CHICKEN,No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,northwest,thesirwinstonchurchillrochdale,mainmenu#
CHARGRILLED CAJUN CHICKEN BREAST,No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,northwest,thesirwinstonchurchillrochdale,mainmenu#
GRILLED HALLOUMI (V),No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,northwest,thesirwinstonchurchillrochdale,mainmenu#
BREADED MUSHROOMS (V),With garlic mayo dip,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,northeast,harvesterryhopesunderland,mainmenu#
NACHOS (V),"With cheese sauce, guacamole, salsa, sour cream and jalapeños.",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,northeast,harvesterryhopesunderland,mainmenu#
Add BBQ Pulled Pork,Add BBQ pulled pork,£,0.99,Starters,https:,www.harvester.co.uk,restaurants,northeast,harvesterryhopesunderland,mainmenu#
VEGAN NACHOS (VE),"With guacamole, salsa and jalapeños. Add vegan chilli +99p",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,northeast,harvesterryhopesunderland,mainmenu#
Add Vegan Chilli (VE),Add vegan chilli,£,0.99,Starters,https:,www.harvester.co.uk,restaurants,northeast,harvesterryhopesunderland,mainmenu#
GARLIC BREAD (V),Soft garlic bread topped with garlic & parsley butter. Cheesy garlic bread (V) and vegan option available (VE),£,4.99,Starters,https:,www.harvester.co.uk,restaurants,northeast,harvesterryhopesunderland,mainmenu#
Cheesy Garlic Bread (V),Soft garlic bread topped with garlic & parsley butter. Topped with Cheddar cheese,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,northeast,harvesterryhopesunderland,mainmenu#
Garlic Bread (VE),Soft garlic bread,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,northeast,harvesterryhopesunderland,mainmenu#
PRIME CHICKEN WINGS,Choose your sauce: BBQ sauce or peri-peri sauce,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,northeast,harvesterryhopesunderland,mainmenu#
CHICKEN BREAST GOUJONS,Choose your sauce: Bourbon or Naga hot chilli sauce,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,northeast,harvesterryhopesunderland,mainmenu#
LOADED TEX MEX SWEETCORN RIBS (V),"Oak-smoked and topped with chunky tomato salsa, guacamole & cheese sauce.",£,5.49,Starters,https:,www.harvester.co.uk,restaurants,northeast,harvesterryhopesunderland,mainmenu#
HALLOUMI FRIES (V),With chunky tomato salsa,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,northeast,harvesterryhopesunderland,mainmenu#
SPICY CRACKERJACK PRAWNS,With sweet chilli dip,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,northeast,harvesterryhopesunderland,mainmenu#
GRILLED MEDITERRANEAN VEGETABLES (V)(VE),With a tomato and smoked paprika sauce and soft flatbread.,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,northeast,harvesterryhopesunderland,mainmenu#
JALEPENO POPPERS (V),"Stuffed with cream cheese, served with a chunky tomato salsa",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,northeast,harvesterryhopesunderland,mainmenu#
CRISPY CALAMARI STRIPS,With sweet chilli dip,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,northeast,harvesterryhopesunderland,mainmenu#
POTATO SKINS,Loaded with melted cheese and bacon,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,northeast,harvesterryhopesunderland,mainmenu#
MIXED GRILL,"A quarter of our rotisserie chicken, 4oz* rump steak, half a gammon steak, a pork sausage, a fried free-range egg and black pudding. Ask about upgrading your steak",£,16.99,Grills,https:,www.harvester.co.uk,restaurants,northeast,harvesterryhopesunderland,mainmenu#
ULTIMATE MIXED GRILL,"A quarter portion of our rotisserie chicken, 8oz* rump steak, a half rack of our BBQ-glazed ribs, 7oz* gammon, two pork sausages, two fried free-range eggs and two black pudding slices",£,22.49,Grills,https:,www.harvester.co.uk,restaurants,northeast,harvesterryhopesunderland,mainmenu#
7OZ# GAMMON,"Served with chips, onion rings, tomato & peas",£,10.99,Grills,https:,www.harvester.co.uk,restaurants,northeast,harvesterryhopesunderland,mainmenu#
14OZ* GAMMON,"With your choice of grilled pineapple or a fried free-range egg. Served with chips, onion rings, tomato & peas.",£,14.49,Grills,https:,www.harvester.co.uk,restaurants,northeast,harvesterryhopesunderland,mainmenu#
SMOKED BBQ PORK BELLY,"Smoked pork belly, slow-cooked for four hours, with Spiked maple glaze and served with mash, green beans & gravy",£,15.99,Grills,https:,www.harvester.co.uk,restaurants,northeast,harvesterryhopesunderland,mainmenu#
10OZ# SIRLOIN STEAK,No Description,£,17.99,Steaks,https:,www.harvester.co.uk,restaurants,northeast,harvesterryhopesunderland,mainmenu#
12OZ# RIBEYE STEAK,No Description,£,20.49,Steaks,https:,www.harvester.co.uk,restaurants,northeast,harvesterryhopesunderland,mainmenu#
8OZ# RUMP STEAK,No Description,£,14.99,Steaks,https:,www.harvester.co.uk,restaurants,northeast,harvesterryhopesunderland,mainmenu#
CHARGRILLED RUMP STEAK,No Description,£,9.99,Flatbreads,https:,www.harvester.co.uk,restaurants,northeast,harvesterryhopesunderland,mainmenu#
BUTTERMILK-FRIED CHICKEN,No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,northeast,harvesterryhopesunderland,mainmenu#
CHARGRILLED CAJUN CHICKEN BREAST,No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,northeast,harvesterryhopesunderland,mainmenu#
GRILLED HALLOUMI (V),No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,northeast,harvesterryhopesunderland,mainmenu#
BREADED MUSHROOMS (V),With garlic mayo dip,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastandwestmidlands,harvesterbassettspolesuttoncoldfield,mainmenu#
NACHOS (V),"With cheese sauce, guacamole, salsa, sour cream and jalapeños.",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastandwestmidlands,harvesterbassettspolesuttoncoldfield,mainmenu#
Add BBQ Pulled Pork,Add BBQ pulled pork,£,0.99,Starters,https:,www.harvester.co.uk,restaurants,eastandwestmidlands,harvesterbassettspolesuttoncoldfield,mainmenu#
VEGAN NACHOS (VE),"With guacamole, salsa and jalapeños. Add vegan chilli +99p",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastandwestmidlands,harvesterbassettspolesuttoncoldfield,mainmenu#
Add Vegan Chilli (VE),Add vegan chilli,£,0.99,Starters,https:,www.harvester.co.uk,restaurants,eastandwestmidlands,harvesterbassettspolesuttoncoldfield,mainmenu#
GARLIC BREAD (V),Soft garlic bread topped with garlic & parsley butter. Cheesy garlic bread (V) and vegan option available (VE),£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastandwestmidlands,harvesterbassettspolesuttoncoldfield,mainmenu#
Cheesy Garlic Bread (V),Soft garlic bread topped with garlic & parsley butter. Topped with Cheddar cheese,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastandwestmidlands,harvesterbassettspolesuttoncoldfield,mainmenu#
Garlic Bread (VE),Soft garlic bread,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastandwestmidlands,harvesterbassettspolesuttoncoldfield,mainmenu#
PRIME CHICKEN WINGS,Choose your sauce: BBQ sauce or peri-peri sauce,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,eastandwestmidlands,harvesterbassettspolesuttoncoldfield,mainmenu#
CHICKEN BREAST GOUJONS,Choose your sauce: Bourbon or Naga hot chilli sauce,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,eastandwestmidlands,harvesterbassettspolesuttoncoldfield,mainmenu#
LOADED TEX MEX SWEETCORN RIBS (V),"Oak-smoked and topped with chunky tomato salsa, guacamole & cheese sauce.",£,5.49,Starters,https:,www.harvester.co.uk,restaurants,eastandwestmidlands,harvesterbassettspolesuttoncoldfield,mainmenu#
HALLOUMI FRIES (V),With chunky tomato salsa,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,eastandwestmidlands,harvesterbassettspolesuttoncoldfield,mainmenu#
SPICY CRACKERJACK PRAWNS,With sweet chilli dip,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,eastandwestmidlands,harvesterbassettspolesuttoncoldfield,mainmenu#
GRILLED MEDITERRANEAN VEGETABLES (V)(VE),With a tomato and smoked paprika sauce and soft flatbread.,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastandwestmidlands,harvesterbassettspolesuttoncoldfield,mainmenu#
JALEPENO POPPERS (V),"Stuffed with cream cheese, served with a chunky tomato salsa",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastandwestmidlands,harvesterbassettspolesuttoncoldfield,mainmenu#
CRISPY CALAMARI STRIPS,With sweet chilli dip,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,eastandwestmidlands,harvesterbassettspolesuttoncoldfield,mainmenu#
POTATO SKINS,Loaded with melted cheese and bacon,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,eastandwestmidlands,harvesterbassettspolesuttoncoldfield,mainmenu#
MIXED GRILL,"A quarter of our rotisserie chicken, 4oz* rump steak, half a gammon steak, a pork sausage, a fried free-range egg and black pudding. Ask about upgrading your steak",£,17.49,Grills,https:,www.harvester.co.uk,restaurants,eastandwestmidlands,harvesterbassettspolesuttoncoldfield,mainmenu#
ULTIMATE MIXED GRILL,"A quarter portion of our rotisserie chicken, 8oz* rump steak, a half rack of our BBQ-glazed ribs, 7oz* gammon, two pork sausages, two fried free-range eggs and two black pudding slices",£,22.99,Grills,https:,www.harvester.co.uk,restaurants,eastandwestmidlands,harvesterbassettspolesuttoncoldfield,mainmenu#
7OZ# GAMMON,"Served with chips, onion rings, tomato & peas",£,11.49,Grills,https:,www.harvester.co.uk,restaurants,eastandwestmidlands,harvesterbassettspolesuttoncoldfield,mainmenu#
14OZ* GAMMON,"With your choice of grilled pineapple or a fried free-range egg. Served with chips, onion rings, tomato & peas.",£,14.99,Grills,https:,www.harvester.co.uk,restaurants,eastandwestmidlands,harvesterbassettspolesuttoncoldfield,mainmenu#
SMOKED BBQ PORK BELLY,"Smoked pork belly, slow-cooked for four hours, with Spiked maple glaze and served with mash, green beans & gravy",£,16.49,Grills,https:,www.harvester.co.uk,restaurants,eastandwestmidlands,harvesterbassettspolesuttoncoldfield,mainmenu#
10OZ# SIRLOIN STEAK,No Description,£,18.49,Steaks,https:,www.harvester.co.uk,restaurants,eastandwestmidlands,harvesterbassettspolesuttoncoldfield,mainmenu#
12OZ# RIBEYE STEAK,No Description,£,20.99,Steaks,https:,www.harvester.co.uk,restaurants,eastandwestmidlands,harvesterbassettspolesuttoncoldfield,mainmenu#
8OZ# RUMP STEAK,No Description,£,15.49,Steaks,https:,www.harvester.co.uk,restaurants,eastandwestmidlands,harvesterbassettspolesuttoncoldfield,mainmenu#
